City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,utrik,11.2278,169.8474,300.04,86,98,8.77,MH,1713818069
1,settat,33.0007,-7.6204,290.05,71,71,4.89,MA,1713818360
2,robertsport,6.7533,-11.3686,301.31,84,100,5.04,LR,1713818363
3,berbera,10.4396,45.0143,303.04,75,13,2.17,SO,1713818139
4,bethel,41.3712,-73.414,289.46,34,0,3.09,US,1713817948
5,udachny,66.4167,112.4,271.73,98,100,2.01,RU,1713817946
6,thompson,55.7435,-97.8558,281.24,34,20,5.14,CA,1713817956
7,tazovsky,67.4667,78.7,254.54,98,84,3.81,RU,1713818074
8,hawaiian paradise park,19.5933,-154.9731,299.75,76,40,4.12,US,1713818030
9,margaret river,-33.95,115.0667,285.87,57,91,3.86,AU,1713817955
10,geraldton,-28.7667,114.6,290.38,55,97,8.75,AU,1713818209
11,west island,-12.1568,96.8225,300.14,94,75,7.72,CC,1713818018
12,blackmans bay,-43.0167,147.3167,283.44,83,100,1.34,AU,1713818005
13,bredasdorp,-34.5322,20.0403,289.26,91,99,0.89,ZA,1713817946
14,markovo,57.3206,107.0881,274.45,99,100,0.96,RU,1713818095
15,stettler,52.3168,-112.7186,289.01,18,15,11.32,CA,1713818372
16,port-aux-francais,-49.35,70.2167,279.61,75,89,11.41,TF,1713817954
17,ilulissat,69.2167,-51.1,281.16,49,75,5.14,GL,1713818001
18,st. john's,47.5649,-52.7093,284.81,47,75,5.66,CA,1713818104
19,port mathurin,-19.6833,63.4167,300.03,83,100,7.48,MU,1713818074
20,felipe carrillo puerto,19.5833,-88.05,307.69,31,52,3.95,MX,1713818376
21,medias,46.1667,24.35,282.07,70,65,2.34,RO,1713818377
22,hamilton,39.1834,-84.5333,291.91,31,0,5.66,US,1713817882
23,machico,32.7,-16.7667,293.55,82,40,6.17,PT,1713818377
24,taoudenni,22.6783,-3.9836,304.23,11,2,3.72,ML,1713818378
25,rio grande,-32.035,-52.0986,296.21,85,99,3.37,BR,1713818140
26,puerto natales,-51.7236,-72.4875,282.4,53,75,6.17,CL,1713817947
27,adamstown,-25.066,-130.1015,295.77,77,81,10.98,PN,1713817950
28,atafu village,-8.5421,-172.5159,302.47,72,10,3.7,TK,1713818131
29,harper,4.375,-7.7169,301.73,78,100,4.1,LR,1713818379
30,petropavlovsk-kamchatsky,53.0452,158.6483,275.07,85,0,1.79,RU,1713817948
31,birni n konni,13.7956,5.2553,306.92,29,43,2.46,NE,1713818380
32,georgetown,5.4112,100.3354,301.11,89,40,3.09,MY,1713818268
33,manokwari,-0.8667,134.0833,299.62,76,100,1.71,ID,1713818003
34,puerto ayora,-0.7393,-90.3518,301.13,77,83,5.78,EC,1713817974
35,ushuaia,-54.8,-68.3,277.94,87,100,3.6,AR,1713817712
36,edinburgh of the seven seas,-37.0676,-12.3116,290.7,85,70,11.46,SH,1713817956
37,grytviken,-54.2811,-36.5092,273.4,77,48,9.1,GS,1713817953
38,tulum,20.2167,-87.4667,303.94,49,47,3.66,MX,1713818090
39,isafjordur,66.0755,-23.124,276.36,77,20,1.17,IS,1713817973
40,okahao,-17.885,15.0667,297.72,25,4,3.22,NA,1713818389
41,tonj,7.2737,28.6822,303.87,38,100,1.23,SS,1713818389
42,luderitz,-26.6481,15.1594,289.48,90,1,3.25,NA,1713817996
43,goulburn,-34.75,149.7167,282.23,81,0,2.39,AU,1713818390
44,naze,28.3667,129.4833,293.66,95,100,2.61,JP,1713818390
45,otaru,43.1894,141.0022,276.5,84,100,2.21,JP,1713818390
46,iqaluit,63.7506,-68.5145,265.0,67,20,8.23,CA,1713817813
47,olonkinbyen,70.9221,-8.7187,269.94,66,0,5.97,SJ,1713818127
48,awjilah,29.1081,21.2869,305.37,11,93,10.47,LY,1713818392
49,waitangi,-43.9535,-176.5597,283.05,90,53,2.68,NZ,1713817950
50,arraial do cabo,-22.9661,-42.0278,299.13,73,0,4.63,BR,1713818361
51,jayapura,-2.5333,140.7,296.81,91,100,2.14,ID,1713818355
52,qaqortoq,60.7167,-46.0333,277.01,83,59,0.3,GL,1713818070
53,stanley,54.868,-1.6985,279.7,90,75,4.63,GB,1713817976
54,papatowai,-46.5619,169.4708,285.6,54,100,5.0,NZ,1713817951
55,egilsstadir,65.2653,-14.3948,277.1,81,0,3.09,IS,1713818006
56,kwidzyn,53.7249,18.9311,274.97,87,100,2.33,PL,1713818399
57,invercargill,-46.4,168.35,281.49,75,100,2.68,NZ,1713817959
58,wailua homesteads,22.0669,-159.378,298.39,71,20,8.23,US,1713817976
59,callao,-12.0667,-77.15,298.31,65,0,6.17,PE,1713817922
60,benemerito de las americas,16.5167,-90.6439,311.65,23,10,1.49,MX,1713818400
61,port lincoln,-34.7333,135.8667,289.46,45,99,5.42,AU,1713818193
62,parauapebas,-6.0675,-49.9022,301.14,88,75,0.0,BR,1713818318
63,sagarejo,41.734,45.3315,289.39,70,60,0.52,GE,1713818403
64,happy valley-goose bay,53.3168,-60.3315,276.32,93,75,3.09,CA,1713818224
65,goba,7.0167,39.9833,284.58,93,57,1.47,ET,1713818405
66,araguaina,-7.1911,-48.2072,299.51,84,69,0.92,BR,1713818109
67,bridgewater,44.3835,-64.5155,284.94,42,0,6.69,CA,1713818406
68,borogontsy,62.6683,131.1683,273.58,91,100,3.83,RU,1713818406
69,touros,-5.1989,-35.4608,300.61,81,59,4.3,BR,1713818191
70,badger,64.8,-147.5333,285.29,39,40,3.09,US,1713818077
71,yellowknife,62.456,-114.3525,281.44,49,75,6.69,CA,1713818040
72,arno,60.1167,18.6333,272.47,72,100,9.64,SE,1713818409
73,la'ie,21.6477,-157.9253,300.13,65,2,3.13,US,1713818417
